interval,lower,upper,timestamp
1,52.72,52.72,2025-10-01 12:00:00+00:00
2,,,2025-10-01 12:00:00+00:00
3,54.46,54.46,2025-10-01 12:00:00+00:00
4,,,2025-10-01 12:00:00+00:00
5,55.58,55.58,2025-10-01 12:00:00+00:00
