interval,lower,upper,timestamp
1,40.965,40.965,2024-11-10 12:00:00+00:00
2,42.44,42.44,2024-11-10 12:00:00+00:00
3,44.9,44.9,2024-11-10 12:00:00+00:00
4,44.9,44.9,2024-11-10 12:00:00+00:00
5,,,2024-11-10 12:00:00+00:00
1,33.068333333333335,33.068333333333335,2024-11-16 12:00:00+00:00
2,42.44,42.44,2024-11-16 12:00:00+00:00
3,42.44,42.44,2024-11-16 12:00:00+00:00
4,42.44,42.44,2024-11-16 12:00:00+00:00
5,,,2024-11-16 12:00:00+00:00
1,32.093333333333334,32.093333333333334,2024-11-22 12:00:00+00:00
2,42.44,42.44,2024-11-22 12:00:00+00:00
3,42.44,42.44,2024-11-22 12:00:00+00:00
4,42.44,42.44,2024-11-22 12:00:00+00:00
5,,,2024-11-22 12:00:00+00:00
1,32.093333333333334,32.093333333333334,2024-11-28 12:00:00+00:00
2,32.093333333333334,32.093333333333334,2024-11-28 12:00:00+00:00
3,40.965,40.965,2024-11-28 12:00:00+00:00
4,40.965,40.965,2024-11-28 12:00:00+00:00
5,,,2024-11-28 12:00:00+00:00
1,15.8,15.8,2024-12-04 12:00:00+00:00
2,41.17333333333334,41.17333333333334,2024-12-04 12:00:00+00:00
3,41.17333333333334,41.17333333333334,2024-12-04 12:00:00+00:00
4,41.17333333333334,41.17333333333334,2024-12-04 12:00:00+00:00
5,,,2024-12-04 12:00:00+00:00
1,15.8,15.8,2024-12-11 12:00:00+00:00
2,41.17333333333334,41.17333333333334,2024-12-11 12:00:00+00:00
3,41.17333333333334,41.17333333333334,2024-12-11 12:00:00+00:00
4,41.17333333333334,41.17333333333334,2024-12-11 12:00:00+00:00
5,,,2024-12-11 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2024-12-17 12:00:00+00:00
2,41.17333333333334,41.17333333333334,2024-12-17 12:00:00+00:00
3,41.17333333333334,41.17333333333334,2024-12-17 12:00:00+00:00
4,41.17333333333334,41.17333333333334,2024-12-17 12:00:00+00:00
5,,,2024-12-17 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2024-12-23 12:00:00+00:00
2,40.965,40.965,2024-12-23 12:00:00+00:00
3,40.965,40.965,2024-12-23 12:00:00+00:00
4,40.965,40.965,2024-12-23 12:00:00+00:00
5,,,2024-12-23 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2024-12-29 12:00:00+00:00
2,40.965,40.965,2024-12-29 12:00:00+00:00
3,40.965,40.965,2024-12-29 12:00:00+00:00
4,40.965,40.965,2024-12-29 12:00:00+00:00
5,,,2024-12-29 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-01-04 12:00:00+00:00
2,12.33,12.33,2025-01-04 12:00:00+00:00
3,28.52,28.52,2025-01-04 12:00:00+00:00
4,29.603333333333335,29.603333333333335,2025-01-04 12:00:00+00:00
5,,,2025-01-04 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-01-11 12:00:00+00:00
2,12.33,12.33,2025-01-11 12:00:00+00:00
3,28.52,28.52,2025-01-11 12:00:00+00:00
4,28.52,28.52,2025-01-11 12:00:00+00:00
5,,,2025-01-11 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-01-17 12:00:00+00:00
2,12.33,12.33,2025-01-17 12:00:00+00:00
3,28.52,28.52,2025-01-17 12:00:00+00:00
4,28.52,28.52,2025-01-17 12:00:00+00:00
5,,,2025-01-17 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-01-23 12:00:00+00:00
2,12.33,12.33,2025-01-23 12:00:00+00:00
3,28.52,28.52,2025-01-23 12:00:00+00:00
4,28.52,28.52,2025-01-23 12:00:00+00:00
5,,,2025-01-23 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-01-29 12:00:00+00:00
2,12.33,12.33,2025-01-29 12:00:00+00:00
3,28.52,28.52,2025-01-29 12:00:00+00:00
4,28.52,28.52,2025-01-29 12:00:00+00:00
5,,,2025-01-29 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-02-04 12:00:00+00:00
2,12.33,12.33,2025-02-04 12:00:00+00:00
3,28.52,28.52,2025-02-04 12:00:00+00:00
4,28.52,28.52,2025-02-04 12:00:00+00:00
5,,,2025-02-04 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-02-10 12:00:00+00:00
2,12.33,12.33,2025-02-10 12:00:00+00:00
3,28.52,28.52,2025-02-10 12:00:00+00:00
4,28.52,28.52,2025-02-10 12:00:00+00:00
5,,,2025-02-10 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-02-17 12:00:00+00:00
2,12.33,12.33,2025-02-17 12:00:00+00:00
3,28.52,28.52,2025-02-17 12:00:00+00:00
4,28.52,28.52,2025-02-17 12:00:00+00:00
5,,,2025-02-17 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-02-23 12:00:00+00:00
2,12.33,12.33,2025-02-23 12:00:00+00:00
3,28.52,28.52,2025-02-23 12:00:00+00:00
4,28.52,28.52,2025-02-23 12:00:00+00:00
5,,,2025-02-23 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-03-01 12:00:00+00:00
2,12.33,12.33,2025-03-01 12:00:00+00:00
3,28.52,28.52,2025-03-01 12:00:00+00:00
4,28.52,28.52,2025-03-01 12:00:00+00:00
5,,,2025-03-01 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-03-07 12:00:00+00:00
2,12.33,12.33,2025-03-07 12:00:00+00:00
3,28.52,28.52,2025-03-07 12:00:00+00:00
4,28.52,28.52,2025-03-07 12:00:00+00:00
5,,,2025-03-07 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-03-13 12:00:00+00:00
2,12.33,12.33,2025-03-13 12:00:00+00:00
3,28.52,28.52,2025-03-13 12:00:00+00:00
4,28.52,28.52,2025-03-13 12:00:00+00:00
5,,,2025-03-13 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-03-20 12:00:00+00:00
2,12.33,12.33,2025-03-20 12:00:00+00:00
3,28.52,28.52,2025-03-20 12:00:00+00:00
4,28.52,28.52,2025-03-20 12:00:00+00:00
5,,,2025-03-20 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-03-26 12:00:00+00:00
2,12.33,12.33,2025-03-26 12:00:00+00:00
3,28.52,28.52,2025-03-26 12:00:00+00:00
4,28.52,28.52,2025-03-26 12:00:00+00:00
5,,,2025-03-26 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-04-01 12:00:00+00:00
2,10.69,10.69,2025-04-01 12:00:00+00:00
3,28.52,28.52,2025-04-01 12:00:00+00:00
4,28.52,28.52,2025-04-01 12:00:00+00:00
5,,,2025-04-01 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-04-07 12:00:00+00:00
2,10.69,10.69,2025-04-07 12:00:00+00:00
3,28.52,28.52,2025-04-07 12:00:00+00:00
4,28.52,28.52,2025-04-07 12:00:00+00:00
5,,,2025-04-07 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-04-13 12:00:00+00:00
2,10.69,10.69,2025-04-13 12:00:00+00:00
3,28.52,28.52,2025-04-13 12:00:00+00:00
4,28.52,28.52,2025-04-13 12:00:00+00:00
5,,,2025-04-13 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-04-20 12:00:00+00:00
2,10.69,10.69,2025-04-20 12:00:00+00:00
3,28.52,28.52,2025-04-20 12:00:00+00:00
4,28.52,28.52,2025-04-20 12:00:00+00:00
5,,,2025-04-20 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-04-26 12:00:00+00:00
2,10.69,10.69,2025-04-26 12:00:00+00:00
3,28.52,28.52,2025-04-26 12:00:00+00:00
4,28.52,28.52,2025-04-26 12:00:00+00:00
5,,,2025-04-26 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-05-02 12:00:00+00:00
2,10.69,10.69,2025-05-02 12:00:00+00:00
3,28.52,28.52,2025-05-02 12:00:00+00:00
4,28.52,28.52,2025-05-02 12:00:00+00:00
5,,,2025-05-02 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-05-08 12:00:00+00:00
2,10.69,10.69,2025-05-08 12:00:00+00:00
3,28.52,28.52,2025-05-08 12:00:00+00:00
4,28.52,28.52,2025-05-08 12:00:00+00:00
5,,,2025-05-08 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-05-14 12:00:00+00:00
2,10.69,10.69,2025-05-14 12:00:00+00:00
3,28.52,28.52,2025-05-14 12:00:00+00:00
4,28.52,28.52,2025-05-14 12:00:00+00:00
5,,,2025-05-14 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-05-20 12:00:00+00:00
2,10.69,10.69,2025-05-20 12:00:00+00:00
3,28.52,28.52,2025-05-20 12:00:00+00:00
4,28.52,28.52,2025-05-20 12:00:00+00:00
5,,,2025-05-20 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-05-27 12:00:00+00:00
2,10.631666666666666,10.631666666666666,2025-05-27 12:00:00+00:00
3,28.52,28.52,2025-05-27 12:00:00+00:00
4,28.52,28.52,2025-05-27 12:00:00+00:00
5,,,2025-05-27 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-06-02 12:00:00+00:00
2,10.69,10.69,2025-06-02 12:00:00+00:00
3,10.69,10.69,2025-06-02 12:00:00+00:00
4,10.69,10.69,2025-06-02 12:00:00+00:00
5,,,2025-06-02 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-06-08 12:00:00+00:00
2,10.69,10.69,2025-06-08 12:00:00+00:00
3,10.69,10.69,2025-06-08 12:00:00+00:00
4,10.69,10.69,2025-06-08 12:00:00+00:00
5,,,2025-06-08 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-06-14 12:00:00+00:00
2,10.69,10.69,2025-06-14 12:00:00+00:00
3,10.69,10.69,2025-06-14 12:00:00+00:00
4,10.69,10.69,2025-06-14 12:00:00+00:00
5,,,2025-06-14 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-06-20 12:00:00+00:00
2,10.69,10.69,2025-06-20 12:00:00+00:00
3,10.69,10.69,2025-06-20 12:00:00+00:00
4,10.69,10.69,2025-06-20 12:00:00+00:00
