interval,lower,upper,timestamp
1,,,2024-11-10 12:00:00+00:00
2,41.928333333333335,41.928333333333335,2024-11-10 12:00:00+00:00
3,42.44,42.723333333333336,2024-11-10 12:00:00+00:00
4,42.723333333333336,42.723333333333336,2024-11-10 12:00:00+00:00
5,,,2024-11-10 12:00:00+00:00
1,,,2024-11-16 12:00:00+00:00
2,36.86833333333333,36.86833333333333,2024-11-16 12:00:00+00:00
3,,,2024-11-16 12:00:00+00:00
4,38.815,38.815,2024-11-16 12:00:00+00:00
5,,,2024-11-16 12:00:00+00:00
1,32.093333333333334,32.093333333333334,2024-11-22 12:00:00+00:00
2,36.86833333333333,36.86833333333333,2024-11-22 12:00:00+00:00
3,,,2024-11-22 12:00:00+00:00
4,38.815,38.815,2024-11-22 12:00:00+00:00
5,,,2024-11-22 12:00:00+00:00
1,15.8,15.8,2024-11-28 12:00:00+00:00
2,42.44,42.44,2024-11-28 12:00:00+00:00
3,44.24333333333334,44.24333333333334,2024-11-28 12:00:00+00:00
4,44.24333333333334,44.24333333333334,2024-11-28 12:00:00+00:00
5,,,2024-11-28 12:00:00+00:00
1,15.8,15.8,2024-12-04 12:00:00+00:00
2,42.44,42.44,2024-12-04 12:00:00+00:00
3,44.24333333333334,44.24333333333334,2024-12-04 12:00:00+00:00
4,44.24333333333334,44.24333333333334,2024-12-04 12:00:00+00:00
5,,,2024-12-04 12:00:00+00:00
1,15.8,15.8,2024-12-11 12:00:00+00:00
2,28.52,28.52,2024-12-11 12:00:00+00:00
3,44.24333333333334,44.24333333333334,2024-12-11 12:00:00+00:00
4,44.24333333333334,44.24333333333334,2024-12-11 12:00:00+00:00
5,,,2024-12-11 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2024-12-17 12:00:00+00:00
2,,,2024-12-17 12:00:00+00:00
3,,,2024-12-17 12:00:00+00:00
4,28.52,28.52,2024-12-17 12:00:00+00:00
5,,,2024-12-17 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2024-12-23 12:00:00+00:00
2,,,2024-12-23 12:00:00+00:00
3,,,2024-12-23 12:00:00+00:00
4,26.775,26.775,2024-12-23 12:00:00+00:00
5,,,2024-12-23 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2024-12-29 12:00:00+00:00
2,,,2024-12-29 12:00:00+00:00
3,32.89666666666667,32.89666666666667,2024-12-29 12:00:00+00:00
4,32.89666666666667,32.89666666666667,2024-12-29 12:00:00+00:00
5,,,2024-12-29 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-01-04 12:00:00+00:00
2,,,2025-01-04 12:00:00+00:00
3,32.89666666666667,32.89666666666667,2025-01-04 12:00:00+00:00
4,32.89666666666667,32.89666666666667,2025-01-04 12:00:00+00:00
5,,,2025-01-04 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-01-11 12:00:00+00:00
2,23.05666666666667,23.05666666666667,2025-01-11 12:00:00+00:00
3,32.89666666666667,32.89666666666667,2025-01-11 12:00:00+00:00
4,32.89666666666667,32.89666666666667,2025-01-11 12:00:00+00:00
5,,,2025-01-11 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-01-17 12:00:00+00:00
2,23.05666666666667,23.05666666666667,2025-01-17 12:00:00+00:00
3,32.89666666666667,32.89666666666667,2025-01-17 12:00:00+00:00
4,32.89666666666667,32.89666666666667,2025-01-17 12:00:00+00:00
5,,,2025-01-17 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-01-23 12:00:00+00:00
2,23.05666666666667,23.05666666666667,2025-01-23 12:00:00+00:00
3,32.89666666666667,32.89666666666667,2025-01-23 12:00:00+00:00
4,32.89666666666667,32.89666666666667,2025-01-23 12:00:00+00:00
5,,,2025-01-23 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-01-29 12:00:00+00:00
2,,,2025-01-29 12:00:00+00:00
3,23.05666666666667,23.05666666666667,2025-01-29 12:00:00+00:00
4,26.775,26.775,2025-01-29 12:00:00+00:00
5,,,2025-01-29 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-02-04 12:00:00+00:00
2,,,2025-02-04 12:00:00+00:00
3,23.05666666666667,23.05666666666667,2025-02-04 12:00:00+00:00
4,26.775,26.775,2025-02-04 12:00:00+00:00
5,,,2025-02-04 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-02-10 12:00:00+00:00
2,,,2025-02-10 12:00:00+00:00
3,23.05666666666667,23.05666666666667,2025-02-10 12:00:00+00:00
4,28.52,28.52,2025-02-10 12:00:00+00:00
5,,,2025-02-10 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-02-17 12:00:00+00:00
2,,,2025-02-17 12:00:00+00:00
3,23.05666666666667,23.05666666666667,2025-02-17 12:00:00+00:00
4,28.52,28.52,2025-02-17 12:00:00+00:00
5,,,2025-02-17 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-02-23 12:00:00+00:00
2,25.076666666666668,25.076666666666668,2025-02-23 12:00:00+00:00
3,25.076666666666668,25.076666666666668,2025-02-23 12:00:00+00:00
4,28.52,28.52,2025-02-23 12:00:00+00:00
5,,,2025-02-23 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-03-01 12:00:00+00:00
2,25.076666666666668,25.076666666666668,2025-03-01 12:00:00+00:00
3,25.076666666666668,25.076666666666668,2025-03-01 12:00:00+00:00
4,28.52,28.52,2025-03-01 12:00:00+00:00
5,,,2025-03-01 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-03-07 12:00:00+00:00
2,25.076666666666668,25.076666666666668,2025-03-07 12:00:00+00:00
3,25.076666666666668,25.076666666666668,2025-03-07 12:00:00+00:00
4,28.52,28.52,2025-03-07 12:00:00+00:00
5,,,2025-03-07 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-03-13 12:00:00+00:00
2,25.076666666666668,25.076666666666668,2025-03-13 12:00:00+00:00
3,25.076666666666668,25.076666666666668,2025-03-13 12:00:00+00:00
4,28.52,28.52,2025-03-13 12:00:00+00:00
5,,,2025-03-13 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-03-20 12:00:00+00:00
2,25.076666666666668,25.076666666666668,2025-03-20 12:00:00+00:00
3,25.076666666666668,25.076666666666668,2025-03-20 12:00:00+00:00
4,28.52,28.52,2025-03-20 12:00:00+00:00
5,,,2025-03-20 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-03-26 12:00:00+00:00
2,14.075,14.075,2025-03-26 12:00:00+00:00
3,23.05666666666667,23.05666666666667,2025-03-26 12:00:00+00:00
4,28.52,28.52,2025-03-26 12:00:00+00:00
5,,,2025-03-26 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-04-01 12:00:00+00:00
2,25.076666666666668,25.076666666666668,2025-04-01 12:00:00+00:00
3,25.076666666666668,25.076666666666668,2025-04-01 12:00:00+00:00
4,28.52,28.52,2025-04-01 12:00:00+00:00
5,,,2025-04-01 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-04-07 12:00:00+00:00
2,25.076666666666668,25.076666666666668,2025-04-07 12:00:00+00:00
3,25.076666666666668,25.076666666666668,2025-04-07 12:00:00+00:00
4,28.52,28.52,2025-04-07 12:00:00+00:00
5,,,2025-04-07 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-04-13 12:00:00+00:00
2,5.446666666666666,5.446666666666666,2025-04-13 12:00:00+00:00
3,23.05666666666667,23.05666666666667,2025-04-13 12:00:00+00:00
4,28.52,28.52,2025-04-13 12:00:00+00:00
5,,,2025-04-13 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-04-20 12:00:00+00:00
2,5.446666666666666,5.446666666666666,2025-04-20 12:00:00+00:00
3,23.05666666666667,23.05666666666667,2025-04-20 12:00:00+00:00
4,28.52,28.52,2025-04-20 12:00:00+00:00
5,,,2025-04-20 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-04-26 12:00:00+00:00
2,5.446666666666666,5.446666666666666,2025-04-26 12:00:00+00:00
3,23.05666666666667,23.05666666666667,2025-04-26 12:00:00+00:00
4,28.52,28.52,2025-04-26 12:00:00+00:00
5,,,2025-04-26 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-05-02 12:00:00+00:00
2,5.446666666666666,5.446666666666666,2025-05-02 12:00:00+00:00
3,23.05666666666667,23.05666666666667,2025-05-02 12:00:00+00:00
4,28.52,28.52,2025-05-02 12:00:00+00:00
5,,,2025-05-02 12:00:00+00:00
1,3.2566666666666664,3.2566666666666664,2025-05-08 12:00:00+00:00
2,5.446666666666666,5.446666666666666,2025-05-08 12:00:00+00:00
3,23.05666666666667,23.05666666666667,2025-05-08 12:00:00+00:00
4,28.52,28.52,2025-05-08 12:00:00+00:00
5,,,2025-05-08 12:00:00+00:00
