interval,lower,upper,timestamp
1,56.55,56.55,2025-10-01 12:00:00+00:00
2,56.55,56.55,2025-10-01 12:00:00+00:00
3,56.55,56.55,2025-10-01 12:00:00+00:00
4,,,2025-10-01 12:00:00+00:00
5,56.55,56.55,2025-10-01 12:00:00+00:00
6,,,2025-10-01 12:00:00+00:00
7,,,2025-10-01 12:00:00+00:00
8,,,2025-10-01 12:00:00+00:00
